Q2 Legal Requests,,
Request Type,Requests,Information Produced
Court Orders,19,13
Pen Register / Trap and Trace,1,0
Search Warrants,407,392
Subpoenas,574,484
,,
,,
Request Type,Requests,Complied
Preservation Requests,646,559
,,
,,
SUM:,1647,1448
